"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"leg [furn.; cloth.; anat.] [gebrochenes Bein--broken leg [med.]; linkes Bein--left leg [anat.]; die Beine überschlagen--cross one's legs","die Mehrwertsteuer (Pl.: die Mehrwertsteuern) <MwSt., MWSt.>"
"value added tax <VAT> [ausschließlich Mehrwertsteuer--exclusive of VAT; zuzüglich Mehrwertsteuer--plus VAT; Alle Preise sind inklusiv der gesetzlichen Mehrwertsteuer und Bediengeld.--All prices include VAT and service (charge).]","der Aufsichtsrat (Pl.: die Aufsichtsräte)"
"supervisory committee [econ.]; board of directors [supervisory board]; member of the supervisory board [Einzelperson] [im Aufsichtsrat sitzen--be a member of the supervisory board] [z.B. 'Nach seinem Studium der Politik und Volkswirtschaft begann er seine journalistische Karriere bei der 'tageszeitung'. Dort ist er heute ehrenamtlicher Aufsichtsrat der Genossenschaft.']","die Berufung (Pl.: die Berufungen)	"
"appointment [Ernennung] [jobs] [Berufung in ein öffentliches Amt--appointment to a public office] [z.B. 'Peter Maxwill studierte gerade in Rom, als ihn das Landgericht Hamburg bis 2018 als Schöffen verpflichtete. Seit seiner Berufung sitzt er regelmäßig auf der Richterbank - zunächst als Student, dann als freiberuflicher Journalist, mittlerweile als Volontär von SPIEGEL ONLINE.']; appeal [law] [eine Berufung zurückweisen--reject an appeal [law]]; calling [to a profession etc.] [sie sah Mutterschaft als die heilige Berufung einer jeden Frau an--she saw motherhood as woman's sacred calling]","das Gremium (Pl.: die Gremien)	"
"board [beratendes Gremium-advisory board]; committee [Ausschuss]","die Zielsetzung (Pl.: die Zielsetzungen)"
"goal [strategische Zielsetzung--strategic objective; allgemeine Zielsetzung--overall aim; kurzfristige/langfristige Zielsetzung--short-term/long-term objective]","der Dissens (Pl.: die Dissense)	"
"disagreement [mehr Dissens als Konsens--more dissent than consensus]","der Hintergrund (Pl.: die Hintergründe)"
"background [+von Bild, Raum; verborgene Zusammenhänge] [im Hintergrund--in the background; [vor dem Hintergrund--against the background; sich im Hintergrund halten--stay in the background; das Rot hebt sich stark vom Hintergrund ab--the red stands out vividly against its background]","die Besorgnis (Pl.: die Besorgnisse)	"
"concern [worry] [Besorgnis um etw. Äußern--express concern at sth.; Anlass {m} zur Besorgnis--cause for concern]","die Bestätigung (Pl.: die Bestätigungen)"
"confirmation [auch Dokument; Beurkundung] [schriftliche Bestätigung--confirmation in writing; Bestätigung aus unabhängiger Quelle--independent confirmation; Bestätigung finden--be confirmed]","die Ansicht (Pl.: die Ansichten)	"
"opinion [Meinung] [meiner Ansicht nach <m. A. n.>--in my opinion; eine Ansicht vertreten--hold an opinion]","der Untertitel (Pl.: die Untertitel)	"
"subtitle [publ.; lit.; film] [der Film hat englische Untertitel--he film is subtitled in English]","die Sendung (Pl.: die Sendungen)	"
"program [TV, radio] [Live-Sendung--live program; TV-Sendung--TV show]","die Öffentlichkeit (kein Plural)	"
"public [die Öffentlichkeit beruhigen--reassure the public; die Öffentlichkeit aufklären--educate the public [inform] [pol.]; bei der Öffentlichkeit gut ankommen--go down well with the public]; the general public [Allgemeinheit] [etw. der breiten Öffentlichkeit anbieten--advertise sth. to the general public] (население); public view","die Folter (Pl.: die Foltern)	"
"torture [also fig.] [unter Folter zusammenbrechen--break under torture; Tod durch Folter--death by torture]","der Befehl (Pl.: die Befehle)	"
"order [authoritative command, direction, or instruction] [ausdrücklicher Befehl--strict order; einen Befehl befolgen--obey an order]; command [einen Befehl ausführen--execute a command; unter dem Befehl von jdm.--under the command of sb. [mil.] {z. B. von Major Schulz, von (Ludwig) Beck}]","die Steuerung (Pl.: die Steuerungen)	"
"control [Bekämpfung; Regulierung; +von Politik, Wirtschaft] [Steuerung von Hand--manual control]; steering [+von Schiff]; piloting [+von Flugzeug]","der Angriff (Pl.: die Angriffe)	"
"attack [einheitlich angesetzter Angriff--coordinated attack [mil.]; verbaler Angriff--verbal attack; einen Angriff abwehren--ward off an attack; einen Angriff führen--make an attack] [z.B. 'Seit einem Hackerangriff auf die Computersysteme des Unternehmens werden praktisch täglich neue Details aus dem Inneren eines der größten Filmstudios der USA veröffentlicht.']","der Begriff (Pl.: die Begriffe)	"
"definition; term [ling.] [abstrakter Begriff--abstract term [ling.]; üblicher Begriff--commonly used term [ling.]; einen Begriff prägen--coin a term [ling.]][z.B. ''Ground Zero' - Lange vor den Anschlägen des 11. Septembers bezeichnete dieser Begriff einen Ort, an dem eine Nuklearexplosion stattgefunden hat. Die USA wollten im Falle eines Krieges mit der Sowjetunion 91 'Ground Zeros' allein in Ost-Berlin herbeibomben.']; idea [Vorstellung, Idee] [sich (D) einen Begriff von etw. machen--form an idea of sth.]","die Jugendliche {pl} (Sg.: der Jugendlicher (male); die Jugendliche (female))"
"teenagers [randalierende Jugendliche--(young) hooligans; kein Ausschank an Jugendliche unter 16 Jahren--drinks not sold to persons under the age of 16] [z.B. 'In Potsdam ist ein 14 Jahre alter Syrer von drei Jugendlichen angegriffen und verprügelt worden. Wie die Polizei mitteilte, ereignete sich der Vorfall am frühen Mittwochabend im Stadtzentrum.']","die Einsparung (Pl.: die Einsparungen)	"
"saving [das Einsparen] [von--of]; savings [eingesparter Beitrag]; reduction","der Moderator (Pl.: die Moderatoren)	"
"host [Radio; TV] [TV-Moderator--TV host; Ko-Moderator--co-host] (ведущий программу); presenter [Radio; TV] (ведущий программу)","der Sender (Pl.: die Sender)	"
"broadcaster [RadioTV] [öffentlich-rechtlicher Sender--public service broadcaster; TV-Sender--TV station]; sender","der Schwung (Pl.: die Schwünge)	"
"drive [Ihr Schwung lässt nach--you're losing your drive]; momentum [Antrieb] [an Schwung verlieren--lose momentum]; spark","der Vorgänger (Pl.: die Vorgänger)	"
"predecessor [er wurde von seinem Vorgänger eingewiesen--his predecessor showed him what the job involved]","die Zusammenstellung (Pl.: die Zusammenstellungen)"
"compilation [+von Daten, Programm]; combination [+von Farben] [harmonische Zusammenstellung--harmonious combination]","der Schwerpunkt (Pl.: die Schwerpunkte)"
"emphasis [den Schwerpunkt verlagern--change the emphasis]; focus [Der Schwerpunkt liegt auf etw. [Dat.]--The focus is on sth.] [z.B. 'Kristin Hüttmann ist Diplom-Biologin und arbeitet als freie Wissenschaftsjournalistin in Hamburg. Zu ihren Schwerpunkten zählen Themen aus Medizin, Biologie, Biotechnologie, Gentechnik, Stammzell- und Pharmaforschung.']","der/([selten] das) Bereich (Pl.: die Bereiche)"
"realm [Musik aus dem Bereich der Oper--music from the realm of opera]; area [Sachbereich] [einen Bereich absperren--cordon off an area]; range","die Datei (Pl.: die Dateien)	"
"file [comp.] [geschützte Datei--protected file [comp.]; als Excel-Datei--as an Excel-file; (eine Datei) anlegen--create (a file)]","das Vertrauen (kein Plural)	"
"trust [jdm. Vertrauen schenken--trust sb.; jds. Vertrauen gewinnen--gain sb.'s trust; jds. Vertrauen missbrauchen--betray sb.'s trust]","die Konkurrenz (kein Plural [Mitbewerberschaft]/die Konkurrenzen [Wettbewerbe])"
"competition [ausländische Konkurrenz--foreign competition [econ.]; scharfe Konkurrenz--fierce competition; die Konkurrenz bekämpfen--fight the competition; die gesamte Konkurrenz schlagen--beat all competition]","die Hochrechnung (Pl.: die Hochrechnungen)"
"projection [statistische Hochrechnung--statistical projection [stat.]] [z.B. 'Der republikanische Präsidentschaftsbewerber Donald Trump hat ersten Hochrechnungen zufolge die Vorwahl im US-Bundesstaat Nevada gewonnen. Die TV-Sender CNN und Fox News berichten, der 69-Jährige liege vor seinen parteiinternen Rivalen Marco Rubio und Ted Cruz.']; computer prediction [bei Wahlen] [pol.]","das Gelingen (kein Plural)	"
"success [Glück] [gutes Gelingen für Ihren Plan!--good luck with your plan!]","der Völkermord (Pl.: die Völkermorde)	"
"genocide [Völkermord in Ruanda--Rwandan Genocide [hist.]; Völkermord an den Armeniern--Armenian genocide [hist.]]","die Flamme (Pl.: die Flammen)	"
"flame [in Flammen aufgehen--go up in flames; in (hellen) Flammen stehen--be in flames]","die Verstimmung (Pl.: die Verstimmungen)"
"resentment [z.B. 'Für zusätzliche Verstimmung im Verhältnis zu Russland sorgt Moskaus sogenannte schwarze Liste mit Einreiseverboten für europäische Politiker.']; ill humor (плохое настроение)","die Anschuldigung (Pl.: die Anschuldigungen)"
"allegation [eine Anschuldigung verwerfen--dismiss an allegation]; incrimination [z.B. ''Der Schuldspruch (...) scheint politisch motiviert', sagte ein Sprecher der EU-Außenbeauftragten Federica Mogherini. 'Die Anschuldigungen gegen sie sind während des Prozesses nicht belegt worden.''] (обвинение в преступлении); accusation [falsche Anschuldigung--false accusation; eine falsche Anschuldigung erheben--make a false accusation]","der Komplize (Pl.: die Komplizen)	"
"accomplice [Komplize bei einem Verbrechen sein--be an accomplice to a crime]","die Stadt (Pl.: die Städte)	"
"city [alte Stadt--ancient city; wunderbare Stadt--wonderful city; die Stadt Paris--the city of Paris; die Stadt besichtigen--go sightseeing in the town]","die Zeitschrift (Pl.: die Zeitschriften)"
"magazine [publ.; journ.] [wissenschaftliche Zeitschrift--scholarly journal; Die Zeitschrift erscheint freitags.--The magazine comes out on Fridays.]","das Museum (Pl.: die Museen)	"
"museum [archäologisches Museum--archaeological museum; ein Museum besichtigen--visit a museum]","der Wagen (Pl.: die Wagen)	"
"car [Auto; Eisenbahnwagen] [rail; automot.] [mit dem Wagen fahren--go by car]","die Heimat (Pl.: die Heimaten [selten])"
"home [eine Stadt als seine Heimat ansehen--call a city home]; home country [seine Heimat--his own country; seine enge Bindung an die Heimat--his close ties with his home country]","die Speicherung (Pl.: die Speicherungen)"
"storage [tech.] [zentrale Speicherung--centralized storage]","der Stock (Pl.: die Stöcke)	"
"floor [in einem Gebäude] [erster Stock--first floor]; stick [tree branch] [am Stock gehen--walk with a stick; sich auf einen Stock stützen--lean on a stick]","der Paukenschlag (Pl.: die Paukenschläge)"
"bombshell [fig.] [sensation] [mit einem Paukenschlag--sensationally [fig.]]","der Bleistift (Pl.: die Bleistifte)	"
"pencil [einen Bleistift anspitzen--sharpen a pencil; mit dem Bleistift schreiben--write in pencil]","der Anzug (Pl.: die Anzüge)	"
"suit [cloth.] [500-Dollar-Anzug--$500 suit; ich habe einen neuen Anzug gekauft--I bought a new suit; kann ich mich in diesem Anzug sehen lassen?--do I look all right in this suit?]","das Lied (Pl.: die Lieder)	"
"song [mus.] [ein Lied singen--sing a song; ein Lied vortragen--perform a song]","die Unruhe (kein Plural [fehlende Ruhe]/die Unruhen [Tumulte etc.; Teile von Uhren])"
"unrest [Unfrieden] [politische Unruhen--political unrest]; riot [Unruhe stiften--to riot; to cause trouble]","das Stück (Pl.: die Stücke/[mit Zahl auch:] Stück)"
"piece [Stück Kuchen--piece of cake [gastr.]; Stück Papier--piece of paper]; play [theater; lit.] [ein Stück aufführen--perform a play [theater] (theater)]","die Steinkohle (Pl.: die Steinkohlen)	coal"
"die Siedlung (Pl.: die Siedlungen)	","settlement [Ansiedlung] [spätbronzezeitliche Siedlung--Late Bronze Age settlement [archaeo.] [z.B. 'Die Siedlung, benannt nach dem biblischen Kanaan, wo Milch und Honig flossen, ist unvorstellbar arm, errichtet im Staub der kahlen Hügel entlang der Route Nationale 1, der Ausfallstraße in den Nordwesten Haitis.']"
"der Bergarbeiter (Pl.: die Bergarbeiter)","miner [mining]"
"der Bergbau (kein Plural)	","mining [unterirdischer Bergbau--underground mining; in einem Gebiet Bergbau betreiben--mine an area; wie sind die (Zukunfts)aussichten im Bergbau?--what's the outlook for the mining industry?]"
"das Revier (Pl.: die Reviere)	","district [police]; territory [zool.] [z.B. 'Rockerkrieg [≈ bikers war] auf der Reeperbahn [street in Hamburg]: Sieben Schüsse auf ein Taxi [ARTICLE HEADING]. In Hamburg eskaliert der Streit zwischen verfeindeten [rival] Rockerbanden. Bei einem Angriff auf der Reeperbahn [on the Reeperbahn, a street in Hamburg's St. Pauli district] wurde ein 28-Jähriger schwer verletzt. Offenbar wollen Hells Angels [worldwide motorcycle club; the organization is considered an organized crime syndicate] ihr Revier verteidigen.]"
"die U-Bahn (Pl.: die U-Bahnen)	","metro [rail] [mit der U-Bahn fahren--travel by tube; U-Bahn-Station {f}--metro station]"
"der Vermittler (Pl.: die Vermittler)	","intermediary [Vermittler sein--act as intermediary]"
"die Wiederaufnahme (Pl.: die Wiederaufnahmen)","resumption [Wiederaufnahme der Arbeit--resumption of work; Wiederaufnahme der Beziehungen--resumption of relations; Wiederaufnahme der Feindlichkeiten--continuation of hostilities]"
"der Abschuss (Pl.: die Abschüsse)	","launch [rockets, missiles] [mil.]; downing [e.g. of plane] [die Luftwaffe erzielte zwölf Abschüsse--the air force shot or brought down twelve planes; kill [coll.] [mil.] [die Zahl der Abschüsse--the number of kills (количество поражённых целей)]"
"die Änderung (Pl.: die Änderungen)	","change [plötzliche Änderung--abrupt change; eine Änderung erleben--undergo a change; Änderung der Anschrift--change of address]"
"das Grundgesetz (Pl.: die Grundgesetze)","constitution [law] [Grundgesetz für die Bundesrepublik Deutschland--Basic Law for the Federal Republic of Germany [constitution] [law]] [z.B. ''Niemand darf seinem gesetzlichen Richter entzogen werden', schreibt das Grundgesetz in Artikel 101 vor.']"
"die Lücke (Pl.: die Lücken)	","gap [Lücken (im Wissen) haben--have gaps in one's knowledge; eine Lücke schließen--bridge a gap]"
"die Meldung (Pl.: die Meldungen)	","report [Medien, dienstlich, Polizei] [unbestätigte Meldung--unconfirmed report]; message [dringende Meldung--urgent message]"
"der US-Bundesstaat (Pl.: die US-Bundesstaaten)","U.S. state [of + name] [pol.; geogr.] [2009 haben Burundi, Togo und der US-Bundesstaat New Mexico die Todesstrafe abgeschafft.--During 2009 Burundi, Togo and the US State of New Mexico all abolished the death penalty.] [z.B. 'Der 26-jährige Chris Harper M. hat im Umpqua Community College im US-Bundesstaat Oregon um sich geschossen. Zehn Menschen wurden getötet, sieben weitere teils schwer verletzt. M. starb bei einem Schusswechsel mit der Polizei.']"
"der Wachmann (Pl.: die Wachleute/die Wachmänner)","guard [Laut Wachmann verließ er das Zimmer nicht.--The security guard said he never left the room.]"
"der Zustand (Pl.: die Zustände)	","condition [state] [in gutem Zustand sein--be in good condition; in einem schlechten Zustand--in a bad condition; sich in einem kritischen Zustand befinden--be in a critical condition [med.]]"
"das Messer (Pl.: die Messer)	","knife [scharfes Messer--sharp knife; ein Messer auf jdn. richten--aim a knife at sb.]"
"der Unterleib (Pl.: die Unterleiber)	","abdomen [anat.] [Schmerz {m} im Unterleib--abdominal pain [med.]]"
"die Schwere (kein Plural)	","severity [Schwere der Verletzung--severity of (the) injury [med.]; die ganze Schwere des Gesetzes--the full severity of the law]"
"die Verletzung (Pl.: die Verletzungen)	","injury [ernste Verletzung--severe injury; eine Verletzung erleiden--receive an injury]; violation [Verletzung der Geheimhaltung--violation of secrecy; Verletzung der Menschenrechte--violation of human rights]; intrusion [die Verletzung seiner Privatsphäre--the intrusion of or on his privacy]"
"das Muster (Pl.: die Muster)	","pattern [Vorlage, Dessin, Verhaltensmuster] [das Muster ändern--alter the pattern; einem vorhersehbaren or voraussagbaren Muster folgen--follow a predictable pattern]; model [Vorbild] [als Muster dienen--serve as a model]; example [Beispiel] [sich ein Muster an jdm nehmen--take sb as an example]"
"die Schnittwunde (Pl.: die Schnittwunden)","cut [med.] [eine Schnittwunde am Finger/an der Hand/an der Lippe haben--have a cut finger/hand/lip]"
"die Saison (Pl.: die Saisonen/die Saisons)","season [keine Saison haben--be out of season [e.g. berries, vegetable]; flaue Saison--dead season]"
"die Station (Pl.: die Stationen)	","station [U-Bahn-Station--subway station]; stage [+von Reise]"
"das Jahr (Pl.: die Jahre)	","year [dieses Jahr--this year; jedes Jahr--every year; vergangenes Jahr--a year ago; im Jahr 1945--in (the year) 1945; Frohes neues Jahr!--Happy New Year!]"
"der Fallschirm (Pl.: die Fallschirme)	","parachute [seinen Fallschirm nicht öffnen können--fail to deploy one's parachute; mit Fallschirm abspringen--to parachute]"
"der Fallschirmjäger (Pl.: die Fallschirmjäger)","paratrooper [mil.]"
"das Zelt (Pl.: die Zelte)	","tent [ein Zelt aufschlagen--pitch a tent (ставить палатку)]"
"die Ausrüstung (kein Plural [das Ausrüsten; Gesamtheit der Ausrüstungsgegenstände] / Pl.: die Ausrüstungen [Sätze von Ausrüstungsgegenständen])","equipment [Ausrüstungsgegenstände] [elektronische Ausrüstung--electronic equipment; Hightech-Ausrüstung--high-tech equipment]; armament [mil.]"
"die Landebahn (Pl.: die Landebahnen)	","runway [aviat.] [for landings] [vor Erreichen der Landebahn landen--undershoot a runway [aviat.]] [z.B. 'Wie Satellitenaufnahmen im April zeigten, baut China am Fiery-Cross-Riff zudem eine 3000 Meter lange Landebahn.'] (взлётно-посадочная полоса)"
"die Gegend (Pl.: die Gegenden)	","country [scenery, countryside] [ebene Gegend--flat open country]; region [geografisches Gebiet, Körpergegend] [eine Gegend verwüsten--devastate a region]"
"die Kriegsmarine (Pl.: die Kriegsmarinen)","navy [naut.] [Oberbefehlshaber {m} der Kriegsmarine--Commander-in-Chief of the German Navy [mil.]]"
"der Nachbar (Pl.: die Nachbarn)	","neighbour [direkter Nachbar--next-door neighbour; unsere Nachbarn im Osten--our neighbours in the East (neighbouring countries)] [z.B. 'Nordkorea und China, pflegte Mao Zedongs treuer Premierminister Zhou Enlai gerne zu sagen, seien sich so nah wie die 'Lippen zu den Zähnen'. Beide Länder sind Bruderstaaten, die sich helfen, und bislang galt das auch. Im Koreakrieg kommandierte China Millionen Soldaten an die Front. Heute unterstützt China den Nachbarn vor allem wirtschaftlich.']"
"der Berg (Pl.: die Berge)	","mountain [schneebedeckter Berg--snowcapped mountain; einen Berg besteigen--climb a mountain]"
"die Antwort (Pl.: die Antworten)	","reply [Wir freuen uns auf Ihre Antwort.--We look forward to your reply.]; answer [Antwort auf eine Frage--answer to a question]"
"der Verkäufer (Pl.: die Verkäufer)	","seller [jobs; comm.] [Der Verkäufer muss die Fracht zahlen.--The seller must pay the freight.; Karriere als Verkäufer--career in sales; Verkäufer gesucht--sales person wanted]"
"der Kaffee (kein Plural [Substanz] / Pl.: die Kaffees [Sorten; Servierportionen])","coffee [gastr.] [einen Kaffee trinken--have a cup of coffee; seinen Kaffee schlürfen--sip one's coffee]"
"das Vorhandensein (kein Plural)	presence; availability","die Neige (Pl.: die Neigen)	"
"decline [Unsere Vorräte gehen zur Neige.--We are running out of supplies.]","das Verschwinden (kein Plural)	disappearance"
"die Geschwindigkeit (Pl.: die Geschwindigkeiten)","speed [hohe Geschwindigkeit--high speed; mit voller Geschwindigkeit--at full speed; die Geschwindigkeit erhöhen--increase the speed; mit einer Geschwindigkeit von über 40 km/h fahren--travel at a speed exceeding 40 km/h]"
"die Höhe (Pl.: die Höhen)	","height [maximale Höhe--maximum height [tech.]; in schwindelerregender Höhe--at a dizzying height; Höhe über Meeresspiegel--height above sea level [meteo.; geogr.]; Höhe der Investition--amount of investment]"
"die Kiste (Pl.: die Kisten)	","box [made of wood or strong cardboard] [hölzerne Kiste--wooden box; eine Kiste Zigarren--a box of cigars; eine Kiste zunageln--nail down a box]"
"der Vorwand (Pl.: die Vorwände)	","pretext [unter dem Vorwand, dass …--under the pretext that …] [z.B. 'Den Konflikt nutze der Westen als Vorwand für Sanktionen.']"
"die Strömung (Pl.: die Strömungen)	","movement [in politics, ideas, the arts, etc.]; current [naut.; hydro.] [die Strömung trieb das Boot aufs Meer hinaus--the current took the boat out to sea]"
"der Übergriff (Pl.: die Übergriffe)	","attack [Angriff, Überfall] [auf +Akk.--upon] [Wieder einmal erleben wir einen Übergriff der israelischen Armee auf Palästina.--Once again, we are witnessing an attack by the Israeli army in Palestine.]; assault [sexueller Übergriff--sexual assault] [z.B. Context: On New Year's Eve 2016 hundreds of women across Germany have been sexually assaulted and robbed by migrants of arab and North African origin (these are predominantly Muslims] 'Der Zentralrat der Muslime registriert seit den Übergriffen auf Frauen in Köln und anderen Städten in der Silvesternacht eine immer größere Islamfeindlichkeit in Deutschland. 'Wir erleben eine neue Dimension des Hasses', sagte der Vorsitzende Aiman Mazyek dem 'Kölner Stadtanzeiger'.']; abuse [Missbrauch]"
"der Fluss (Pl.: die Flüsse)	","river [hydro.; geogr.] [am Fluss--by the river; turbulenter Fluss--turbulent river; den Fluss überqueren--cross over the river]; stream [river] [hydro.; geogr.] [klarer Fluss--clear stream; Fluss der Einkünfte--stream of earnings]"
"die Firma (Pl.: die Firmen)	","company [econ.; comm.] [konkurrierende Firma--rival company; neugegründete Firma--newly established company; Offshore-Firma--offshore company] [z.B. 'Die italienischen Firma [der italienische Energiekonzern Eni] sucht im Auftrag der ägyptischen Regierung im Mittelmeer, auf dem Sinai, im Golf von Suez und in Teilen des Nil-Deltas nach Erdgas.']"
"die Räumung (Pl.: die Räumungen)	","clearance [act of clearing] [Protestlager, Kreuzung, Unfallstelle] [Die Räumung der explosiven Rückstände von Kriegen ist eine ständig wachsende Belastung für die internationale Gemeinschaft.--The clearance of explosive remnants of war is an ever-growing burden for the international community.] [z.B. 'Am Mittwochmorgen hat die Polizei mit der Räumung des Flüchtlingslagers in Idomeni begonnen. In dem Camp an der mazedonisch-griechischen Grenze hatten sich seit Wochen Tausende Menschen angesammelt, die über die „Balkanroute“ nach Westeuropa gelangen wollten.']"
"die Gnade (Pl.: die Gnaden [selten])	","mercy [Barmherzigkeit] [um Gnade bitten--ask for mercy]"
"die Barrikade (Pl.: die Barrikaden)	","barricade [auf die Barrikaden gehen--go to the barricades]"
"das Ultimatum (Pl.: die Ultimaten)	","ultimatum [jdm ein Ultimatum stellen--give sb an ultimatum] (English Pl.: ultimatums, ultimata)"
"der Engpass (Pl.: die Engpässe)	","bottleneck [fig.] [Fahrbahnverengung; Verknappung] [es besteht bei dieser Ware derzeit ein Engpass--these goods are at present in short supply]; shortage [personeller Engpass--staff shortage]"
"der Brief (Pl.: die Briefe)	","letter [einfacher Brief--ordinary letter; verlorengegangener Brief--lost letter; einen Brief absenden--mail a letter; einen Brief erhalten--receive a letter] [z.B. '...schrieb er einen Brief an Investoren…']"
"das Schreiben (Pl.: [Geschriebenes, Brief] die Schreiben; [Tätigkeit] kein Plural)","letter [esp. official letter] [an +Akk.--to] [ein Schreiben an jdn. richten--address a letter to sb.]"
"die Vorkasse (Pl.: die Vorkassen)	","prepayment [Vorkasse (für etw. (A)) leisten--pay (sth.) in advance; wir liefern Ihnen die Waren nur gegen Vorkasse--we'll only supply the goods to you on advance payment]"
"das Szenario (Pl.: die Szenarien)	","scenario [Schlimmstfall-Szenario {n}--worst case scenario; Bestfall-Szenario {n}--best case scenario]"
"der Vertrag (Pl.: die Verträge)	","contract [laut Vertrag--as per contract; nach diesem Vertrag--according to this contract; bestehender Vertrag--existing contract; einen Vertrag abschließen--conclude a contract [law]]; treaty [EU-Vertrag--EU treaty [pol.; EU; einen Vertrag aushandeln--negotiate a treaty [pol.]]"
"die Überlegung (Pl.: die Überlegungen)	","consideration [careful thought, deliberation] [der Überlegung bedürfen--deserve / need / require consideration; zur sofortigen Überlegung--for immediate consideration] [z.B. 'Entsprechende Überlegungen machen in Kanzleramt und Bundesfinanzministerium wenige Wochen vor der Parlamentswahl in Griechenland am 25. Januar die Runde, wo bisher der Konservative Antonis Samaras regiert.']; thought [bei nochmaliger Überlegung--on second thought]"
"der Griff (Pl.: die Griffe)	","grasp [Handgriff] [seinen Griff lösen--relax one's grasp; etw. in den Griff bekommen--get a grasp of sth. [geistig]; get to grips with sth.]; handle [Stiel, Knauf] [ergonomischer Griff--ergonomic handle]"
"die Universität (Pl.: die Universitäten)","university [educ.; acad.] [technische Universität--technical university [educ.]; an der Universität--at the university; die Universität besuchen--attend university [educ.; acad.]; sich an einer Universität einschreiben--enroll at a university (поступить в университет)]"
"der Rettungsfonds (Pl.: die Rettungsfonds)","rescue fund [fin.] [Die deutsche Kanzlerin, Angela Merkel, hat am Mittwoch die Schaffung eines Rettungsfonds für die Eurozone verteidigt.--Last Wednesday the German Chancellor, Angela Merkel, expressed her support for the creation of a rescue fund for the Eurozone.]"
"das Büro (Pl.: die Büros)	","office [temporäres Büro--temporary office; ein neues Büro beziehen--move into a new office; in einem Büro arbeiten--work in an office]"
"der Ort (Pl.: die Orte)	","place [angenehmer Ort--pleasant place; geheimer Ort--secret place; jeder andere Ort--any other place; an einem Ort ankommen--arrive at a place]"
"der Durchbruch (Pl.: die Durchbrüche)	","breakthrough [Erfolg, auch militärisch, politisch, wissenschaftlich, künstlerisch] [Durchbruch in den Verhandlungen--breakthrough in the negotiations [pol.]]"
"der Konflikt (Pl.: die Konflikte)	","conflict [einen Konflikt lösen--solve a conflict; mit jdm./etw. in Konflikt geraten--come into conflict with sb./sth.] [z.B. 'Der Konflikt an der Grenze zwischen Türkei und Syrien eskaliert: Bei Gefechten sind offenbar ein Soldat und ein IS-Kämpfer getötet worden. Ankara schickte Kampfflugzeuge. Unterdessen wurde ein Polizist im Osten des Landes erschossen.']"
"die Schwierigkeit (Pl.: die Schwierigkeiten)","difficulty [einer Schwierigkeit gegenüberstehen--face a difficulty; jdn in Schwierigkeiten bringen--create difficulties for sb; in Schwierigkeiten--in difficulties/in trouble]; trouble [in Schwierigkeiten geraten--get into trouble/get into difficulty]"
"die Aufhebung (Pl.: die Aufhebungen)	","repeal [law] [Abschaffung] [+von Gesetz auch] [Aufhebung einer Ehe--annulment of a marriage; Aufhebung eines Patents--cancelation of a patent; Aufhebung von Beschränkungen--abolishment of restrictions] [z.B. 'Auch in Afrika nahm der Waffenhandel zwischen 2011 und 2015 um rund ein Fünftel zu. Größte Importeure blieben dort Algerien und Marokko. Ägypten führte nach der Aufhebung eines teilweisen Waffenembargos insgesamt 37 Prozent mehr Waffen ein. '2014 und 2015 unterzeichnete Ägypten mehrere große Deals für Waffen aus Frankreich, Deutschland und Russland', hieß es im Sipri-Bericht.']"
"die Begrenzung (Pl.: die Begrenzungen)	","limit [in zeitlicher Begrenzung--within specified time limits; die Begrenzung der Höchstgeschwindigkeit--the speed limit]; limitation [Begrenzung der Produktion--limitation of production (ограничение производства)]"
"der Streitpunkt (Pl.: die Streitpunkte)","issue [contentious point] [zentraler Streitpunkt--hot-button issue [besonders wichtige Frage]]"
"die Anreicherung (Pl.: die Anreicherungen)","enrichment [Bereicherung] [Uran-Anreicherung--uranium enrichment [phys.]]"
"der Typ (Pl.: die Typen)	","type [Menschenart] [komischer Typ--funny old guy; sie ist mein Typ--she's my type of girl; ein normaler Typ--a regular guy]"
"die Zahl (Pl.: die Zahlen)	","number [gerade Zahl--even number; genaue Zahl--exact number]"
"der Sprengstoff (Pl.: die Sprengstoffe)","explosive [die Kiste war voll mit Sprengstoff--the box was packed full of explosives]"
"die Initiative (Pl.: die Initiativen)	","initiative [aus eigener Initiative--on one's own initiative; die Initiative ergreifen--take the initiative]"
"die Geschichte (kein Plural [laut Geschichtsschreibung] /Pl.: die Geschichten [Erzählungen; Handlungen])","history [hist.; educ.; acad.] [Geschichte schreiben--make history; antike Geschichte--ancient history [hist.]]; story [komische Geschichte--funny story; eine Geschichte erzählen--narrate a story]"
"das Maschinengewehr <MG> (Pl.: die Maschinengewehre)","machine-gun [mil.] [mit Maschinengewehr(en) beschießen--to machine-gun; schweres Maschinengewehr--heavy machine gun [weapons]]"
